layer,ProtoAcc_T,ConsistentWithFinal_T,MeanLogP_margin_T,Silhouette_lang_T,BCSS_WCSS_lang_T,Entropy_lang_T,ExplainedVar_PC1_T,ExplainedVar_PC2_T
0,0.26,0.08555555555555555,-0.005083141326904297,0.37933757193123485,141.08876745808027,1.3862829208374023,0.47654036225182395,0.14319887306281337
1,0.2,0.7066666666666667,-0.006052699618869358,0.43807365264870063,36.436020217733734,1.3862832415103912,0.37308074114141504,0.2043750677282984
2,0.25,0.2011111111111111,-0.0017237175835503472,0.06344601496731947,3.0692892596844654,1.386293224758572,0.8022852225072332,0.061660388556137626
3,0.25,0.12,-0.013054656982421874,0.100185170945065,3.744061222702783,1.3862334979905022,0.7154484946589676,0.08457464153241846
4,0.25,0.12,-0.015499794748094348,0.18452834844440286,5.090255447681955,1.3862152553929223,0.5363251320651569,0.13028584727716075
5,0.2,0.7066666666666667,-0.031004805432425606,0.19444988702419905,6.445324147525847,1.3859356175528632,0.46457660038076315,0.12934910713952108
6,0.2,0.7066666666666667,-0.039228103823131986,0.24893578914657277,8.43948296688851,1.3858023068639966,0.4201427300246131,0.14302267866253665
7,0.19777777777777777,0.6822222222222222,-0.023930833604600694,0.2628545908315115,9.631178766581256,1.3861043490303888,0.377776964623849,0.15950261937774493
8,0.25,0.12,-0.02886206732855903,0.2677070332418171,9.515612911546818,1.3859544291761186,0.3565472794661711,0.15406364991076457
9,0.25,0.12,-0.05717044406467014,0.2693395303264415,9.542372125025214,1.3848197958204482,0.3339990860020327,0.14859007220125467
10,0.25,0.12,-0.034728936089409725,0.27507648387904043,10.652274428583116,1.3858694701724583,0.3224023473220365,0.1426460021899024
11,0.21,0.3411111111111111,-0.03191422356499566,0.29487827732035804,11.17630869375939,1.3859047566519844,0.3201130461104184,0.14243476518824777
12,0.25,0.12222222222222222,-0.04422758314344618,0.3061434261523479,11.96633476084771,1.3855914135773977,0.33333200216410513,0.14534901668099842
13,0.19666666666666666,0.6922222222222222,-0.040296619733174645,0.3093625410889833,12.190770942447601,1.3857763750023313,0.3403662280425939,0.13341340709050983
14,0.23666666666666666,0.23,-0.044323323567708336,0.3061115850937283,11.618807689645914,1.385467988120185,0.2952921582776399,0.13074196915398795
15,0.2544444444444444,0.37,-0.029014316134982638,0.3828782023157949,17.63214375247081,1.385911319123374,0.3014200494667509,0.1496196461759
16,0.22,0.5344444444444445,-0.036676601833767364,0.4006350257681088,19.684869382643978,1.3856672173076205,0.28459396863599234,0.15152964494573903
17,0.24555555555555555,0.6244444444444445,-0.03641395661565992,0.4400241466857632,23.613559573128594,1.3855033346017203,0.2847838491017315,0.16360780671599978
18,0.4811111111111111,0.42,-0.0013019790914323595,0.4604177851710872,28.7261179864351,1.3849170335133871,0.24402963609984896,0.1884518146300421
19,0.4922222222222222,0.7566666666666667,0.01578862879011366,0.4683354014941011,31.66746694122224,1.3849386754300859,0.25412407760901495,0.18469162236332767
20,0.4911111111111111,0.7588888888888888,0.02173844748073154,0.46563564609243135,34.73366732750261,1.3847428211900923,0.25471657956544186,0.17786911283496143
21,0.4588888888888889,0.77,0.013495963282055325,0.47134264058684544,41.39646426182495,1.3843332657549117,0.29508806940509,0.1909716527174435
22,0.4222222222222222,0.7622222222222222,-0.005783572461869981,0.382335093629887,36.04350444133996,1.3832721262507968,0.2530276493845155,0.18472536735852926
23,0.48333333333333334,0.7766666666666666,0.017562240958213807,0.3669511934375321,34.76908300023709,1.3763066119617886,0.2483541798392437,0.18072462499092012
24,0.5055555555555555,0.6577777777777778,0.03193511731094784,0.39693029617493014,32.42870685754541,1.3729840183258057,0.24179705952351538,0.17618952746043318
25,0.5088888888888888,0.5377777777777778,0.04782706459363301,0.34757518120245423,39.66868401089594,1.369886398712794,0.21214681607975278,0.170040016430112
26,0.5488888888888889,0.5033333333333333,0.0865502679347992,0.33219774987400935,37.89036309556854,1.365808650387658,0.20610909212672174,0.16360524823127442
27,0.5444444444444444,0.4922222222222222,0.09918482303619384,0.38226901602144114,41.83494037403987,1.3586305793126423,0.19426873541469844,0.1569115809974987
28,0.5222222222222223,0.5277777777777778,0.09282730890644922,0.3703251886989533,37.838495667064414,1.3504153850343492,0.1856901475070732,0.15310796482734193
29,0.5377777777777778,0.6477777777777778,0.11688672992918227,0.3637706334872977,33.328784438160135,1.3373413687282139,0.18481643412501134,0.15413856140738252
30,0.49666666666666665,0.7822222222222223,0.09683442585998112,0.5381386251363195,34.30259764405425,1.3230571085214615,0.18523774383928834,0.1399751595809315
31,0.43555555555555553,0.95,-0.07697346919112735,0.48086402875577383,55.99550915298394,1.244144505262375,0.1969172798034099,0.14950872297247386
32,0.42333333333333334,1.0,-0.41016492989328174,0.5112558845893355,74.97226367620684,0.6833859579616951,0.24786110689936108,0.13919481544910653
