layer,ProtoAcc_TEN,ConsistentWithFinal_TEN,MeanLogP_margin_TEN,Entropy_lang_TEN,Silhouette_lang_TEN,BCSS_WCSS_lang_TEN,ExplainedVar_PC1_TEN,ExplainedVar_PC2_TEN
0,0.26,0.07444444444444444,-0.005083141326904297,1.3862829208374023,0.34783966001903155,147.88166754055325,0.49037517300827277,0.12581077398161963
1,0.2,0.7255555555555555,-0.006012207402123345,1.3862830902470482,0.4103021140861495,40.24379266292485,0.38481412403554166,0.1697330346943363
2,0.2511111111111111,0.21888888888888888,-0.0016818406846788195,1.3862932773431142,0.017900832825686854,1.9183579999860907,0.7289977232373027,0.06962238224748157
3,0.2511111111111111,0.11444444444444445,-0.01338133070203993,1.386230649550756,0.05467721441208765,2.6150236354239533,0.611686665044999,0.08883056018389295
4,0.25,0.11333333333333333,-0.015609828366173637,1.3862116470601824,0.14918500172478916,4.075679942413458,0.42281052399177604,0.12292668300147594
5,0.2,0.7255555555555555,-0.030010579294628567,1.3859569599893358,0.16417343456367736,5.6787445559456575,0.3481756562916436,0.11185298087620306
6,0.2,0.7255555555555555,-0.038531967004140216,1.385819633271959,0.2187110486129857,8.12732286973676,0.314963816698601,0.12041044140181029
7,0.1988888888888889,0.7244444444444444,-0.025804206000434027,1.3860980482896168,0.2547242802538272,9.979072169121501,0.28647892697166905,0.132375328418783
8,0.25,0.11333333333333333,-0.027215745713975694,1.3859996212853325,0.25220535886313744,9.244858552693087,0.2727834452795419,0.1265658317863508
9,0.25,0.11333333333333333,-0.059385104709201386,1.3847415290938483,0.24707058490237097,8.934855620605175,0.2521543161999446,0.12038901568196832
10,0.25,0.11333333333333333,-0.03268649631076389,1.3859201851156022,0.2617177864271222,10.2829412774476,0.24759521885185956,0.11515456487356603
11,0.2,0.5122222222222222,-0.034357113308376735,1.3858535733487871,0.2919964255134275,11.04993298602434,0.25286862823947226,0.11633570121369365
12,0.25,0.12222222222222222,-0.045852406819661455,1.3854888502756755,0.31048918919979807,12.771568723620275,0.26664182727894725,0.11994594787388389
13,0.20222222222222222,0.7222222222222222,-0.046323957178327775,1.3856058095561135,0.2973318305910389,11.170026786374292,0.2787661495389814,0.10780579851190308
14,0.22555555555555556,0.47,-0.04983278062608507,1.3852702502409617,0.2984500203060911,10.893728411897797,0.236543293711136,0.1022557295316027
15,0.2733333333333333,0.3333333333333333,-0.028779500325520832,1.3859353036350675,0.3598844037303429,16.79418019287427,0.2456060556515449,0.11881032547759389
16,0.2288888888888889,0.45444444444444443,-0.028298509385850695,1.3858899325794645,0.39203258202489993,19.38759924605617,0.2308068636424727,0.11447100328247407
17,0.29888888888888887,0.4288888888888889,-0.028676893446180556,1.3857516325844659,0.4340005269116575,22.72729700340188,0.23821824321664464,0.1272414849070585
18,0.4222222222222222,0.29333333333333333,-0.008609204822116428,1.3853423631191253,0.46515575247301993,29.822154421050186,0.20436291050894165,0.14696841750372114
19,0.5311111111111111,0.64,0.01727250576019287,1.3855867600440979,0.47550609004646893,32.90782165662889,0.21873701980957064,0.1450375469947109
20,0.5422222222222223,0.5933333333333334,0.023766942818959556,1.3853713525666131,0.4909194197851524,36.620955902385894,0.2293280780493184,0.14273876564267984
21,0.51,0.6511111111111111,0.019908337593078612,1.3851944821410709,0.47736386021358584,42.672182532474466,0.24770349258895016,0.17539469274176203
22,0.45666666666666667,0.6311111111111111,0.003361542224884033,1.384541320403417,0.4271874634538569,37.95410388372899,0.21538621887513862,0.16150870014290708
23,0.47333333333333333,0.79,0.01129549397362603,1.3786538385020362,0.4120435611320365,36.75445546563913,0.21250154748045977,0.15631003631525056
24,0.5,0.6788888888888889,0.02780276397864024,1.3764807837539248,0.43164637536153017,34.33976055085859,0.2093170324993085,0.14968670227064956
25,0.53,0.47555555555555556,0.04296901086966197,1.374417279428906,0.3440136560264117,42.840574989457416,0.1895064513477412,0.15135626706876085
26,0.5566666666666666,0.43333333333333335,0.080671613017718,1.3718185793028936,0.3498696958898313,40.880847203806134,0.18614223757815,0.14408852698452132
27,0.55,0.42,0.0927907344367769,1.3665292966365814,0.2702296837409678,45.43078939145994,0.18362620843342828,0.13775691536071688
28,0.53,0.48,0.08796568976508247,1.3612607578436533,0.4196542753204864,45.83060801766467,0.1796725438341038,0.13328179971385895
29,0.54,0.66,0.12288526283370124,1.350159499115414,0.40899818759374307,40.192738859879775,0.1825605839033829,0.13186366513270606
30,0.5144444444444445,0.7677777777777778,0.099751914607154,1.340048376917839,0.3942943128728521,48.484383861152736,0.18660275628562437,0.12168996239358702
31,0.4288888888888889,0.9277777777777778,-0.05453891310426924,1.2788363382551404,0.4627260564596112,68.18046442910418,0.20366990032548046,0.13818996869427477
32,0.4077777777777778,1.0,-0.3953385435872608,0.7248256501182914,0.39661284220112986,90.34377492677487,0.22401308954207075,0.1379935492897661
